Season,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,logORB,logDRB,logTRB,logMP,logPF,logPTS,logFGA,logFTA,logTOV,logEFG,logFGpct,logFTpct
1,1,Álex Abrines\abrinal01,SG,23,OKC,68,6,15.51470588,134,5.014705882,0.393,94,247,0.381,40,94,0.426,0.531,44,0.720588235,0.898,0.264705882,1,1.264705882,40,37,8,0.485294118,1.676470588,5.970588235,-1.329135947,0,0.234839591,2.741788341,0.516690743,1.786845454,1.612374772,-0.327687407,-0.723000144,-0.632993258,-0.933945667,-0.107585211
1,2,Quincy Acy\acyqu01,PF,26,TOT,38,1,14.68421053,70,4.473684211,0.412,37,90,0.411,33,80,0.413,0.521,45,1.578947368,0.75,0.526315789,2.5,3.026315789,18,14,15,0.552631579,1.763157895,5.842105263,-0.641853886,0.916290732,1.107345969,2.686772803,0.56710646,1.765091222,1.498212277,0.456758402,-0.593063722,-0.652005237,-0.88673193,-0.287682072
1,3,Steven Adams\adamsst01,C,23,OKC,80,80,29.8625,374,8.1875,0.571,0,1,0,374,654,0.572,0.571,157,3.2125,0.611,3.5125,4.15,7.6625,86,89,78,1.825,2.4375,11.3125,1.256328035,1.423108334,2.036338301,3.396603513,0.890972924,2.425908309,2.102608601,1.16704945,0.601579987,-0.560366069,-0.560366069,-0.49265832
1,4,Arron Afflalo\afflaar01,SG,31,SAC,61,45,25.90163934,185,6.885245902,0.44,62,151,0.411,123,269,0.457,0.514,83,1.524590164,0.892,0.147540984,1.901639344,2.049180328,78,21,6,0.68852459,1.704918033,8.442622951,-1.913649287,0.642716327,0.717439873,3.254306262,0.533517035,2.133293036,1.929380847,0.421725629,-0.373204246,-0.665532014,-0.820980552,-0.114289146
1,5,Alexis Ajinça\ajincal01,C,28,NOP,39,15,14.97435897,89,4.564102564,0.5,0,4,0,89,174,0.511,0.5,29,1.025641026,0.725,1.179487179,3.358974359,4.538461538,12,20,22,0.794871795,1.974358974,5.307692308,0.16507975,1.211635677,1.512588086,2.706339337,0.680243776,1.669157147,1.518221904,0.025317808,-0.229574442,-0.693147181,-0.693147181,-0.321583624
1,6,Cole Aldrich\aldrico01,C,28,MIN,62,0,8.564516129,45,1.387096774,0.523,0,0,,45,86,0.523,0.523,15,0.35483871,0.682,0.822580645,1.725806452,2.548387097,25,25,23,0.274193548,1.370967742,1.693548387,-0.195308752,0.545694449,0.935460648,2.147627636,0.315516871,0.526825965,0.327212911,-1.036091932,-1.293921041,-0.648173815,-0.648173815,-0.382725621
1,7,LaMarcus Aldridge\aldrila01,PF,31,SAS,72,72,32.43055556,500,14.56944444,0.477,23,56,0.411,477,993,0.48,0.488,220,3.763888889,0.812,2.388888889,4.875,7.263888889,139,46,88,1.361111111,2.194444444,17.26388889,0.870828358,1.584120104,1.982915345,3.479101051,0.785928914,2.848616972,2.678926489,1.325452702,0.30830136,-0.717439873,-0.740238788,-0.208254939
1,8,Lavoy Allen\allenla01,PF,27,IND,61,5,14.27868852,77,2.754098361,0.458,0,1,0,77,167,0.461,0.458,23,0.540983607,0.697,1.721311475,1.868852459,3.590163934,57,18,24,0.475409836,1.278688525,2.901639344,0.543086486,0.625324584,1.278197866,2.658768113,0.245834963,1.065275868,1.013090115,-0.614366303,-0.743578034,-0.780886095,-0.780886095,-0.360969868
1,9,Tony Allen\allento01,SG,35,MEM,71,66,26.95774648,274,8.38028169,0.461,15,54,0.278,259,541,0.479,0.473,80,1.830985915,0.615,2.338028169,3.169014085,5.507042254,98,115,29,1.408450704,2.507042254,9.056338028,0.849307911,1.153420525,1.706027683,3.294270695,0.919103673,2.203464847,2.125881529,0.604854573,0.342490309,-0.74865989,-0.774357236,-0.486133011
1,10,Al-Farouq Aminu\aminual01,PF,26,POR,61,25,29.06557377,183,7.639344262,0.393,70,212,0.33,113,254,0.445,0.468,96,2.229508197,0.706,1.262295082,6.131147541,7.393442623,99,60,44,1.540983607,1.672131148,8.721311475,0.232931558,1.813381933,2.000593475,3.369554442,0.514098949,2.165769625,2.03331177,0.801781022,0.432420918,-0.759286983,-0.933945667,-0.348140041
